,index,SPX,TradeDate,SPY
252,252,1271.87,2011-01-03,127.05
253,253,1270.2,2011-01-04,126.98
254,254,1276.56,2011-01-05,127.64
255,255,1273.85,2011-01-06,127.39
256,256,1271.5,2011-01-07,127.14
257,257,1269.75,2011-01-10,126.98
258,258,1274.48,2011-01-11,127.43
259,259,1285.96,2011-01-12,128.58
260,260,1283.76,2011-01-13,128.3675
261,261,1293.24,2011-01-14,129.3
262,262,1295.02,2011-01-18,129.52
263,263,1281.92,2011-01-19,128.25
264,264,1280.26,2011-01-20,128.08
265,265,1283.35,2011-01-21,128.37
266,266,1290.84,2011-01-24,129.1
267,267,1291.18,2011-01-25,129.17
268,268,1296.63,2011-01-26,129.67
269,269,1299.54,2011-01-27,129.99
270,270,1276.34,2011-01-28,127.72
271,271,1286.12,2011-01-31,128.68
272,272,1307.59,2011-02-01,130.74
273,273,1304.03,2011-02-02,130.485
274,274,1307.1,2011-02-03,130.78
275,275,1310.87,2011-02-04,131.15
276,276,1319.05,2011-02-07,131.97
277,277,1324.57,2011-02-08,132.57
278,278,1320.88,2011-02-09,132.269
279,279,1321.87,2011-02-10,132.321
280,280,1329.15,2011-02-11,133.11
281,281,1332.32,2011-02-14,133.43
282,282,1328.01,2011-02-15,133.01
283,283,1336.32,2011-02-16,133.85
284,284,1340.43,2011-02-17,134.25
285,285,1343.01,2011-02-18,134.53
286,286,1315.44,2011-02-22,131.83
287,287,1307.4,2011-02-23,131.02
288,288,1306.1,2011-02-24,130.93
289,289,1319.88,2011-02-25,132.33
290,290,1327.22,2011-02-28,133.15
291,291,1306.33,2011-03-01,130.93
292,292,1308.44,2011-03-02,131.21
293,293,1330.97,2011-03-03,133.47
294,294,1321.15,2011-03-04,132.47
295,295,1310.13,2011-03-07,131.43
296,296,1321.82,2011-03-08,132.58
297,297,1320.02,2011-03-09,132.39
298,298,1295.11,2011-03-10,129.9375
299,299,1304.28,2011-03-11,130.84
300,300,1296.39,2011-03-14,130.05
301,301,1281.87,2011-03-15,128.56
302,302,1256.88,2011-03-16,126.175
303,303,1273.72,2011-03-17,127.85
304,304,1279.2,2011-03-18,127.76
305,305,1298.38,2011-03-21,129.74
306,306,1293.77,2011-03-22,129.29
307,307,1297.54,2011-03-23,129.66
308,308,1309.66,2011-03-24,130.9
309,309,1313.8,2011-03-25,131.3
310,310,1310.19,2011-03-28,130.98
311,311,1319.44,2011-03-29,131.86
312,312,1328.26,2011-03-30,132.77
313,313,1325.83,2011-03-31,132.59
314,314,1332.41,2011-04-01,133.15
315,315,1332.87,2011-04-04,133.26
316,316,1332.63,2011-04-05,133.24
317,317,1335.54,2011-04-06,133.66
318,318,1333.51,2011-04-07,133.32
319,319,1328.17,2011-04-08,132.86
320,320,1324.46,2011-04-11,132.46
321,321,1314.16,2011-04-12,131.47
322,322,1314.41,2011-04-13,131.46
323,323,1314.52,2011-04-14,131.56
324,324,1319.68,2011-04-15,132.04
325,325,1305.14,2011-04-18,130.56
326,326,1312.62,2011-04-19,131.31
327,327,1330.36,2011-04-20,133.1
328,328,1337.38,2011-04-21,133.78
329,329,1335.25,2011-04-25,133.64
330,330,1347.24,2011-04-26,134.791
331,331,1355.66,2011-04-27,135.67
332,332,1360.48,2011-04-28,136.11
333,333,1363.61,2011-04-29,136.43
334,334,1361.22,2011-05-02,136.22
335,335,1356.62,2011-05-03,135.73
336,336,1347.32,2011-05-04,134.83
337,337,1335.1,2011-05-05,133.61
338,338,1340.2,2011-05-06,134.2
339,339,1346.29,2011-05-09,134.72
340,340,1357.16,2011-05-10,135.87
341,341,1342.08,2011-05-11,134.44
342,342,1348.65,2011-05-12,135.08
343,343,1337.77,2011-05-13,134.04
344,344,1329.47,2011-05-16,133.19
345,345,1328.98,2011-05-17,133.17
346,346,1340.68,2011-05-18,134.36
347,347,1343.6,2011-05-19,134.68
348,348,1333.27,2011-05-20,133.61
349,349,1317.37,2011-05-23,132.06
350,350,1316.28,2011-05-24,131.95
351,351,1320.47,2011-05-25,132.39
352,352,1325.69,2011-05-26,133.0
353,353,1331.1,2011-05-27,133.51
354,354,1345.2,2011-05-31,134.9
355,355,1314.55,2011-06-01,131.87
356,356,1312.94,2011-06-02,131.73
357,357,1300.16,2011-06-03,130.42
358,358,1286.17,2011-06-06,129.045
359,359,1284.94,2011-06-07,128.96
360,360,1279.56,2011-06-08,128.42
361,361,1289.0,2011-06-09,129.4
362,362,1270.98,2011-06-10,127.6
363,363,1271.83,2011-06-13,127.7
364,364,1287.87,2011-06-14,129.32
365,365,1265.42,2011-06-15,127.02
366,366,1267.64,2011-06-16,127.3
367,367,1271.5,2011-06-17,127.05
368,368,1278.36,2011-06-20,127.7
369,369,1295.52,2011-06-21,129.45
370,370,1287.14,2011-06-22,128.67
371,371,1283.5,2011-06-23,128.30100000000002
