,TradeDate,expiryDate,c_p,strike,price
409,20200110,20200115,1,338.0,0.005
410,20200110,20200115,1,339.0,0.005
411,20200110,20200115,1,340.0,0.005
412,20200110,20200115,1,341.0,0.005
413,20200110,20200115,1,342.0,0.005
414,20200110,20200115,1,343.0,0.005
415,20200110,20200115,1,344.0,0.005
416,20200110,20200115,1,345.0,0.005
417,20200110,20200115,1,346.0,0.005
418,20200110,20200115,0,265.0,0.005
419,20200110,20200115,0,270.0,0.005
420,20200110,20200115,0,275.0,0.005
421,20200110,20200115,0,280.0,0.005
422,20200110,20200115,0,285.0,0.005
423,20200110,20200115,0,290.0,0.005
424,20200110,20200115,0,294.0,0.005
425,20200110,20200115,0,295.0,0.005
426,20200110,20200115,0,296.0,0.005
427,20200110,20200115,0,297.0,0.015
428,20200110,20200115,0,298.0,0.005
429,20200110,20200115,0,299.0,0.015
430,20200110,20200115,0,300.0,0.015
431,20200110,20200115,0,301.0,0.015
432,20200110,20200115,0,302.0,0.015
433,20200110,20200115,0,303.0,0.015
434,20200110,20200115,0,304.0,0.015
435,20200110,20200115,0,305.0,0.015
436,20200110,20200115,0,306.0,0.015
437,20200110,20200115,0,307.0,0.025
438,20200110,20200115,0,308.0,0.025
439,20200110,20200115,0,309.0,0.025
440,20200110,20200115,0,310.0,0.025
441,20200110,20200115,0,311.0,0.035
442,20200110,20200115,0,312.0,0.035
443,20200110,20200115,0,313.0,0.035
444,20200110,20200115,0,314.0,0.045
445,20200110,20200115,0,315.0,0.055
446,20200110,20200115,0,315.5,0.065
447,20200110,20200115,0,316.0,0.065
448,20200110,20200115,0,316.5,0.07500000000000001
449,20200110,20200115,0,317.0,0.08499999999999999
450,20200110,20200115,0,317.5,0.095
451,20200110,20200115,0,318.0,0.11499999999999999
452,20200110,20200115,0,318.5,0.125
453,20200110,20200115,0,319.0,0.14500000000000002
454,20200110,20200115,0,319.5,0.165
455,20200110,20200115,0,320.0,0.195
456,20200110,20200115,0,320.5,0.225
457,20200110,20200115,0,321.0,0.265
458,20200110,20200115,0,321.5,0.305
459,20200110,20200115,0,322.0,0.355
460,20200110,20200115,0,322.5,0.42
461,20200110,20200115,0,323.0,0.495
462,20200110,20200115,0,323.5,0.585
463,20200110,20200115,0,324.0,0.685
464,20200110,20200115,0,324.5,0.815
465,20200110,20200115,0,325.0,0.97
466,20200110,20200115,0,325.5,1.1549999999999998
467,20200110,20200115,0,326.0,1.375
468,20200110,20200115,0,326.5,1.64
469,20200110,20200115,0,327.0,1.93
470,20200110,20200115,0,327.5,2.2649999999999997
471,20200110,20200115,0,328.0,2.63
472,20200110,20200115,0,328.5,3.03
473,20200110,20200115,0,329.0,3.45
474,20200110,20200115,0,329.5,3.88
475,20200110,20200115,0,330.0,4.359999999999999
476,20200110,20200115,0,331.0,5.324999999999999
477,20200110,20200115,0,332.0,6.34
478,20200110,20200115,0,333.0,7.34
479,20200110,20200115,0,334.0,8.33
480,20200110,20200115,0,335.0,9.335
481,20200110,20200115,0,336.0,10.315
482,20200110,20200115,0,337.0,11.295
483,20200110,20200115,0,338.0,12.32
484,20200110,20200115,0,339.0,13.309999999999999
485,20200110,20200115,0,340.0,14.315
486,20200110,20200115,0,341.0,15.315
487,20200110,20200115,0,342.0,16.310000000000002
488,20200110,20200115,0,343.0,17.32
489,20200110,20200115,0,344.0,18.315
490,20200110,20200115,0,345.0,19.32
491,20200110,20200115,0,346.0,20.315
492,20200110,20200117,1,100.0,225.755
493,20200110,20200117,1,105.0,220.755
494,20200110,20200117,1,110.0,215.755
495,20200110,20200117,1,115.0,210.755
496,20200110,20200117,1,120.0,205.755
497,20200110,20200117,1,125.0,200.76
498,20200110,20200117,1,130.0,195.765
499,20200110,20200117,1,135.0,190.765
500,20200110,20200117,1,140.0,185.765
501,20200110,20200117,1,145.0,180.765
502,20200110,20200117,1,150.0,175.765
503,20200110,20200117,1,155.0,170.765
504,20200110,20200117,1,160.0,165.765
505,20200110,20200117,1,165.0,160.76999999999998
506,20200110,20200117,1,170.0,155.76999999999998
507,20200110,20200117,1,175.0,150.77499999999998
508,20200110,20200117,1,180.0,145.77499999999998
509,20200110,20200117,1,185.0,140.77999999999997
510,20200110,20200117,1,190.0,135.77999999999997
511,20200110,20200117,1,191.0,134.77499999999998
512,20200110,20200117,1,192.0,133.77499999999998
513,20200110,20200117,1,193.0,132.77499999999998
514,20200110,20200117,1,194.0,131.77499999999998
515,20200110,20200117,1,195.0,130.77999999999997
516,20200110,20200117,1,196.0,129.77499999999998
517,20200110,20200117,1,197.0,128.77499999999998
518,20200110,20200117,1,198.0,127.775
519,20200110,20200117,1,199.0,126.775
520,20200110,20200117,1,200.0,125.775
521,20200110,20200117,1,201.0,124.775
522,20200110,20200117,1,202.0,123.775
523,20200110,20200117,1,203.0,122.775
524,20200110,20200117,1,204.0,121.775
525,20200110,20200117,1,205.0,120.775
526,20200110,20200117,1,206.0,119.775
527,20200110,20200117,1,207.0,118.78
528,20200110,20200117,1,208.0,117.78
529,20200110,20200117,1,209.0,116.78
530,20200110,20200117,1,210.0,115.78
531,20200110,20200117,1,211.0,114.78
532,20200110,20200117,1,212.0,113.785
533,20200110,20200117,1,213.0,112.785
534,20200110,20200117,1,214.0,111.785
535,20200110,20200117,1,215.0,110.79
536,20200110,20200117,1,216.0,109.785
537,20200110,20200117,1,217.0,108.785
538,20200110,20200117,1,218.0,107.785
539,20200110,20200117,1,219.0,106.785
540,20200110,20200117,1,220.0,105.785
541,20200110,20200117,1,221.0,104.785
542,20200110,20200117,1,222.0,103.785
543,20200110,20200117,1,223.0,102.785
544,20200110,20200117,1,224.0,101.785
545,20200110,20200117,1,225.0,100.785
546,20200110,20200117,1,226.0,99.785
547,20200110,20200117,1,227.0,98.785
548,20200110,20200117,1,228.0,97.785
549,20200110,20200117,1,229.0,96.785
550,20200110,20200117,1,230.0,95.785
551,20200110,20200117,1,231.0,94.785
552,20200110,20200117,1,232.0,93.785
553,20200110,20200117,1,233.0,92.78999999999999
554,20200110,20200117,1,234.0,91.78999999999999
555,20200110,20200117,1,235.0,90.78999999999999
556,20200110,20200117,1,236.0,89.78999999999999
557,20200110,20200117,1,237.0,88.795
558,20200110,20200117,1,238.0,87.795
559,20200110,20200117,1,239.0,86.795
560,20200110,20200117,1,240.0,85.795
561,20200110,20200117,1,241.0,84.795
562,20200110,20200117,1,242.0,83.795
563,20200110,20200117,1,243.0,82.795
564,20200110,20200117,1,244.0,81.795
565,20200110,20200117,1,245.0,80.80000000000001
566,20200110,20200117,1,246.0,79.80000000000001
567,20200110,20200117,1,247.0,78.80000000000001
568,20200110,20200117,1,248.0,77.80000000000001
569,20200110,20200117,1,249.0,76.80000000000001
570,20200110,20200117,1,250.0,75.805
571,20200110,20200117,1,251.0,74.80000000000001
572,20200110,20200117,1,252.0,73.80000000000001
573,20200110,20200117,1,253.0,72.805
574,20200110,20200117,1,254.0,71.805
575,20200110,20200117,1,255.0,70.805
576,20200110,20200117,1,256.0,69.805
577,20200110,20200117,1,257.0,68.805
578,20200110,20200117,1,258.0,67.805
579,20200110,20200117,1,259.0,66.805
580,20200110,20200117,1,260.0,65.81
581,20200110,20200117,1,261.0,64.805
582,20200110,20200117,1,262.0,63.815
583,20200110,20200117,1,263.0,62.805
584,20200110,20200117,1,264.0,61.805
585,20200110,20200117,1,265.0,60.805
586,20200110,20200117,1,266.0,59.805
587,20200110,20200117,1,267.0,58.805
588,20200110,20200117,1,268.0,57.805
589,20200110,20200117,1,269.0,56.805
590,20200110,20200117,1,270.0,55.815
591,20200110,20200117,1,271.0,54.81
592,20200110,20200117,1,272.0,53.81
593,20200110,20200117,1,273.0,52.81
594,20200110,20200117,1,274.0,51.81
595,20200110,20200117,1,275.0,50.815
596,20200110,20200117,1,276.0,49.815
597,20200110,20200117,1,277.0,48.815
598,20200110,20200117,1,278.0,47.815
599,20200110,20200117,1,279.0,46.82
600,20200110,20200117,1,280.0,45.815
601,20200110,20200117,1,281.0,44.815
602,20200110,20200117,1,282.0,43.815
603,20200110,20200117,1,283.0,42.815
604,20200110,20200117,1,284.0,41.815
605,20200110,20200117,1,285.0,40.825
606,20200110,20200117,1,286.0,39.815
607,20200110,20200117,1,287.0,38.82
608,20200110,20200117,1,288.0,37.83
609,20200110,20200117,1,289.0,36.83
610,20200110,20200117,1,290.0,35.825
611,20200110,20200117,1,291.0,34.825
612,20200110,20200117,1,292.0,33.805
613,20200110,20200117,1,293.0,32.805
614,20200110,20200117,1,294.0,31.805
615,20200110,20200117,1,295.0,30.835
616,20200110,20200117,1,296.0,29.85
617,20200110,20200117,1,297.0,28.835
618,20200110,20200117,1,298.0,27.84
619,20200110,20200117,1,299.0,26.86
620,20200110,20200117,1,300.0,25.84
621,20200110,20200117,1,301.0,24.86
622,20200110,20200117,1,302.0,23.87
623,20200110,20200117,1,303.0,22.845
624,20200110,20200117,1,304.0,21.84
625,20200110,20200117,1,305.0,20.86
626,20200110,20200117,1,306.0,19.835
627,20200110,20200117,1,307.0,18.865
628,20200110,20200117,1,308.0,17.869999999999997
629,20200110,20200117,1,309.0,16.880000000000003
630,20200110,20200117,1,310.0,15.879999999999999
631,20200110,20200117,1,311.0,14.895
632,20200110,20200117,1,311.5,14.405000000000001
633,20200110,20200117,1,312.0,13.915
634,20200110,20200117,1,312.5,13.41
635,20200110,20200117,1,313.0,12.925
636,20200110,20200117,1,313.5,12.43
637,20200110,20200117,1,314.0,11.95
638,20200110,20200117,1,314.5,11.455
639,20200110,20200117,1,315.0,10.975
640,20200110,20200117,1,315.5,10.48
641,20200110,20200117,1,316.0,10.01
642,20200110,20200117,1,316.5,9.52
643,20200110,20200117,1,317.0,9.045
644,20200110,20200117,1,317.5,8.565
645,20200110,20200117,1,318.0,8.105
646,20200110,20200117,1,318.5,7.625
647,20200110,20200117,1,319.0,7.165
648,20200110,20200117,1,319.5,6.699999999999999
649,20200110,20200117,1,320.0,6.25
650,20200110,20200117,1,320.5,5.795
651,20200110,20200117,1,321.0,5.35
652,20200110,20200117,1,321.5,4.915
653,20200110,20200117,1,322.0,4.484999999999999
654,20200110,20200117,1,322.5,4.0649999999999995
655,20200110,20200117,1,323.0,3.6550000000000002
656,20200110,20200117,1,323.5,3.255
657,20200110,20200117,1,324.0,2.88
658,20200110,20200117,1,324.5,2.51
659,20200110,20200117,1,325.0,2.175
660,20200110,20200117,1,325.5,1.86
661,20200110,20200117,1,326.0,1.5750000000000002
662,20200110,20200117,1,326.5,1.3050000000000002
663,20200110,20200117,1,327.0,1.0750000000000002
664,20200110,20200117,1,327.5,0.865
665,20200110,20200117,1,328.0,0.695
666,20200110,20200117,1,328.5,0.545
667,20200110,20200117,1,329.0,0.425
668,20200110,20200117,1,329.5,0.32
669,20200110,20200117,1,330.0,0.235
670,20200110,20200117,1,330.5,0.175
671,20200110,20200117,1,331.0,0.125
672,20200110,20200117,1,331.5,0.08499999999999999
